LAT, LON, Covernum, Covername, City fraction, Vegetation fraction, Inland water fraction, sea fraction
52.0217, -9.49056, 326, ATLANTIC COAST BF1, 0.01, 0.99, 0.0, 0.0
52.0197, -9.495, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.0181, -9.49972, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.0161, -9.50417, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.0153, -9.51028, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.0158, -9.51694, 326, ATLANTIC COAST BF1, 0.01, 0.99, 0.0, 0.0
52.015, -9.52278, 322, TEMPERATE BF1, 0.01, 0.99, 0.0, 0.0
52.0167, -9.52806, 322, TEMPERATE BF1, 0.01, 0.99, 0.0, 0.0
52.0161, -9.53306, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0144, -9.5375, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0139, -9.54444, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0158, -9.54889, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0183, -9.5525, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0211, -9.55528, 322, TEMPERATE BF1, 0.01, 0.99, 0.0, 0.0
52.0239, -9.55806, 322, TEMPERATE BF1, 0.01, 0.99, 0.0, 0.0
52.0267, -9.56111, 322, TEMPERATE BF1, 0.01, 0.99, 0.0, 0.0
52.0289, -9.56472, 322, TEMPERATE BF1, 0.01, 0.99, 0.0, 0.0
52.0317, -9.5675, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0339, -9.57139, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0372, -9.57333, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0394, -9.57694, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0419, -9.58056, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0442, -9.58417, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0467, -9.58778, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0489, -9.59139, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0511, -9.59528, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.055, -9.59528, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0581, -9.59278, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0597, -9.58806, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0606, -9.58222, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.06, -9.57556, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0592, -9.56944, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.0578, -9.56444, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.0564, -9.55917, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.0553, -9.55333, 561, TEMPERATE SUBURBAN1, 0.56, 0.44, 0.0, 0.0
52.0542, -9.5475, 561, TEMPERATE SUBURBAN1, 0.56, 0.44, 0.0, 0.0
52.0533, -9.54139, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0519, -9.53639, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.05, -9.53194, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.0464, -9.53083, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.0431, -9.52861, 326, ATLANTIC COAST BF1, 0.01, 0.99, 0.0, 0.0
52.0408, -9.525, 326, ATLANTIC COAST BF1, 0.01, 0.99, 0.0, 0.0
52.0383, -9.52111, 326, ATLANTIC COAST BF1, 0.01, 0.99, 0.0, 0.0
52.0369, -9.51611, 355, IR SCOT SWAMP MOORS1, 0.0, 0.99, 0.01, 0.0
52.035, -9.51167, 354, ATLANTIC GR1, 0.01, 0.98, 0.01, 0.0
52.0336, -9.50667, 354, ATLANTIC GR1, 0.01, 0.98, 0.01, 0.0
52.0322, -9.50139, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.0311, -9.49556, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.0294, -9.49111, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.0267, -9.48833, 326, ATLANTIC COAST BF1, 0.01, 0.99, 0.0, 0.0
52.0225, -9.48889, 326, ATLANTIC COAST BF1, 0.01, 0.99, 0.0, 0.0
52.0217, -9.49056, 326, ATLANTIC COAST BF1, 0.01, 0.99, 0.0, 0.0
52.0217, -9.49056, 326, ATLANTIC COAST BF1, 0.01, 0.99, 0.0, 0.0
53.0633, -8.16444, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.0611, -8.16833, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
53.06, -8.17389, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0586, -8.17917, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0569, -8.18389, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0558, -8.18944, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0556, -8.19639, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
