LAT, LON, Covernum, Covername, City fraction, Vegetation fraction, Inland water fraction, sea fraction
52.0217, -9.49056, 10, temperate broadleaf evergreen , 0.0, 1.0, 0.0, 0.0
52.0197, -9.495, 10, temperate broadleaf evergreen , 0.0, 1.0, 0.0, 0.0
52.0181, -9.49972, 17, temperate grassland, 0.0, 1.0, 0.0, 0.0
52.0161, -9.50417, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.0153, -9.51028, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.0158, -9.51694, 8, temperate broadleaf deciduous, 0.0, 1.0, 0.0, 0.0
52.015, -9.52278, 8, temperate broadleaf deciduous, 0.0, 1.0, 0.0, 0.0
52.0167, -9.52806, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.0161, -9.53306, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.0144, -9.5375, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0139, -9.54444, 8, temperate broadleaf deciduous, 0.0, 1.0, 0.0, 0.0
52.0158, -9.54889, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0183, -9.5525, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0211, -9.55528, 8, temperate broadleaf deciduous, 0.0, 1.0, 0.0, 0.0
52.0239, -9.55806, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.0267, -9.56111, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.0289, -9.56472, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.0317, -9.5675, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0339, -9.57139, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0372, -9.57333, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0394, -9.57694, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0419, -9.58056, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0442, -9.58417, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0467, -9.58778, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0489, -9.59139, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0511, -9.59528, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.055, -9.59528, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0581, -9.59278, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0597, -9.58806, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0606, -9.58222, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.06, -9.57556, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0592, -9.56944, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0578, -9.56444, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0564, -9.55917, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0553, -9.55333, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0542, -9.5475, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0533, -9.54139, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.0519, -9.53639, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.05, -9.53194, 8, temperate broadleaf deciduous, 0.0, 1.0, 0.0, 0.0
52.0464, -9.53083, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.0431, -9.52861, 17, temperate grassland, 0.0, 1.0, 0.0, 0.0
52.0408, -9.525, 13, temperate needleleaf evergreen, 0.0, 1.0, 0.0, 0.0
52.0383, -9.52111, 8, temperate broadleaf deciduous, 0.0, 1.0, 0.0, 0.0
